Modality,Vocal Channel,Emotion,Emotional Intensity,Statement,Repetition,Actor,File Name
audio-only,speech,surprised,normal,Kids,2nd repetition,Actor 16 (Female),03-01-08-01-01-02-16.wav
audio-only,speech,surprised,strong,Dogs,2nd repetition,Actor 16 (Female),03-01-08-02-02-02-16.wav
audio-only,speech,sad,strong,Kids,2nd repetition,Actor 16 (Female),03-01-04-02-01-02-16.wav
audio-only,speech,disgust,strong,Kids,1st repetition,Actor 16 (Female),03-01-07-02-01-01-16.wav
audio-only,speech,disgust,normal,Dogs,1st repetition,Actor 16 (Female),03-01-07-01-02-01-16.wav
audio-only,speech,sad,normal,Dogs,2nd repetition,Actor 16 (Female),03-01-04-01-02-02-16.wav
audio-only,speech,fearful,strong,Dogs,2nd repetition,Actor 16 (Female),03-01-06-02-02-02-16.wav
audio-only,speech,angry,strong,Dogs,1st repetition,Actor 16 (Female),03-01-05-02-02-01-16.wav
audio-only,speech,angry,normal,Kids,1st repetition,Actor 16 (Female),03-01-05-01-01-01-16.wav
audio-only,speech,fearful,normal,Kids,2nd repetition,Actor 16 (Female),03-01-06-01-01-02-16.wav
audio-only,speech,surprised,normal,Dogs,1st repetition,Actor 16 (Female),03-01-08-01-02-01-16.wav
audio-only,speech,surprised,strong,Kids,1st repetition,Actor 16 (Female),03-01-08-02-01-01-16.wav
audio-only,speech,neutral,normal,Kids,2nd repetition,Actor 16 (Female),03-01-01-01-01-02-16.wav
audio-only,speech,calm,normal,Kids,1st repetition,Actor 16 (Female),03-01-02-01-01-01-16.wav
audio-only,speech,calm,strong,Dogs,1st repetition,Actor 16 (Female),03-01-02-02-02-01-16.wav
audio-only,speech,happy,normal,Dogs,2nd repetition,Actor 16 (Female),03-01-03-01-02-02-16.wav
audio-only,speech,happy,strong,Kids,2nd repetition,Actor 16 (Female),03-01-03-02-01-02-16.wav
audio-only,speech,neutral,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-01-01-02-02-11.wav
audio-only,speech,calm,normal,Dogs,1st repetition,Actor 11 (Male),03-01-02-01-02-01-11.wav
audio-only,speech,calm,strong,Kids,1st repetition,Actor 11 (Male),03-01-02-02-01-01-11.wav
audio-only,speech,happy,normal,Kids,2nd repetition,Actor 11 (Male),03-01-03-01-01-02-11.wav
audio-only,speech,happy,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-03-02-02-02-11.wav
audio-only,speech,sad,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-04-02-02-02-11.wav
audio-only,speech,disgust,strong,Dogs,1st repetition,Actor 11 (Male),03-01-07-02-02-01-11.wav
audio-only,speech,disgust,normal,Kids,1st repetition,Actor 11 (Male),03-01-07-01-01-01-11.wav
audio-only,speech,sad,normal,Kids,2nd repetition,Actor 11 (Male),03-01-04-01-01-02-11.wav
audio-only,speech,fearful,strong,Kids,2nd repetition,Actor 11 (Male),03-01-06-02-01-02-11.wav
audio-only,speech,angry,strong,Kids,1st repetition,Actor 11 (Male),03-01-05-02-01-01-11.wav
audio-only,speech,angry,normal,Dogs,1st repetition,Actor 11 (Male),03-01-05-01-02-01-11.wav
audio-only,speech,fearful,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-06-01-02-02-11.wav
audio-only,speech,surprised,normal,Kids,1st repetition,Actor 11 (Male),03-01-08-01-01-01-11.wav
audio-only,speech,surprised,strong,Dogs,1st repetition,Actor 11 (Male),03-01-08-02-02-01-11.wav
audio-only,speech,disgust,strong,Kids,2nd repetition,Actor 11 (Male),03-01-07-02-01-02-11.wav
audio-only,speech,sad,strong,Kids,1st repetition,Actor 11 (Male),03-01-04-02-01-01-11.wav
audio-only,speech,sad,normal,Dogs,1st repetition,Actor 11 (Male),03-01-04-01-02-01-11.wav
audio-only,speech,disgust,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-07-01-02-02-11.wav
audio-only,speech,angry,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-05-02-02-02-11.wav
audio-only,speech,fearful,strong,Dogs,1st repetition,Actor 11 (Male),03-01-06-02-02-01-11.wav
audio-only,speech,fearful,normal,Kids,1st repetition,Actor 11 (Male),03-01-06-01-01-01-11.wav
audio-only,speech,angry,normal,Kids,2nd repetition,Actor 11 (Male),03-01-05-01-01-02-11.wav
audio-only,speech,surprised,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-08-01-02-02-11.wav
audio-only,speech,surprised,strong,Kids,2nd repetition,Actor 11 (Male),03-01-08-02-01-02-11.wav
audio-only,speech,calm,normal,Kids,2nd repetition,Actor 11 (Male),03-01-02-01-01-02-11.wav
audio-only,speech,neutral,normal,Kids,1st repetition,Actor 11 (Male),03-01-01-01-01-01-11.wav
audio-only,speech,calm,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-02-02-02-02-11.wav
audio-only,speech,happy,normal,Dogs,1st repetition,Actor 11 (Male),03-01-03-01-02-01-11.wav
audio-only,speech,happy,strong,Kids,1st repetition,Actor 11 (Male),03-01-03-02-01-01-11.wav
audio-only,speech,fearful,normal,Dogs,1st repetition,Actor 11 (Male),03-01-06-01-02-01-11.wav
audio-only,speech,angry,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-05-01-02-02-11.wav
audio-only,speech,angry,strong,Kids,2nd repetition,Actor 11 (Male),03-01-05-02-01-02-11.wav
audio-only,speech,fearful,strong,Kids,1st repetition,Actor 11 (Male),03-01-06-02-01-01-11.wav
audio-only,speech,sad,normal,Kids,1st repetition,Actor 11 (Male),03-01-04-01-01-01-11.wav
audio-only,speech,disgust,normal,Kids,2nd repetition,Actor 11 (Male),03-01-07-01-01-02-11.wav
audio-only,speech,disgust,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-07-02-02-02-11.wav
audio-only,speech,sad,strong,Dogs,1st repetition,Actor 11 (Male),03-01-04-02-02-01-11.wav
audio-only,speech,surprised,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-08-02-02-02-11.wav
audio-only,speech,surprised,normal,Kids,2nd repetition,Actor 11 (Male),03-01-08-01-01-02-11.wav
audio-only,speech,happy,strong,Dogs,1st repetition,Actor 11 (Male),03-01-03-02-02-01-11.wav
audio-only,speech,happy,normal,Kids,1st repetition,Actor 11 (Male),03-01-03-01-01-01-11.wav
audio-only,speech,calm,strong,Kids,2nd repetition,Actor 11 (Male),03-01-02-02-01-02-11.wav
audio-only,speech,calm,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-02-01-02-02-11.wav
audio-only,speech,neutral,normal,Dogs,1st repetition,Actor 11 (Male),03-01-01-01-02-01-11.wav
audio-only,speech,happy,strong,Kids,2nd repetition,Actor 11 (Male),03-01-03-02-01-02-11.wav
audio-only,speech,happy,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-03-01-02-02-11.wav
audio-only,speech,calm,strong,Dogs,1st repetition,Actor 11 (Male),03-01-02-02-02-01-11.wav
audio-only,speech,neutral,normal,Kids,2nd repetition,Actor 11 (Male),03-01-01-01-01-02-11.wav
audio-only,speech,calm,normal,Kids,1st repetition,Actor 11 (Male),03-01-02-01-01-01-11.wav
audio-only,speech,angry,normal,Kids,1st repetition,Actor 11 (Male),03-01-05-01-01-01-11.wav
audio-only,speech,fearful,normal,Kids,2nd repetition,Actor 11 (Male),03-01-06-01-01-02-11.wav
audio-only,speech,fearful,strong,Dogs,2nd repetition,Actor 11 (Male),03-01-06-02-02-02-11.wav
audio-only,speech,angry,strong,Dogs,1st repetition,Actor 11 (Male),03-01-05-02-02-01-11.wav
audio-only,speech,disgust,normal,Dogs,1st repetition,Actor 11 (Male),03-01-07-01-02-01-11.wav
audio-only,speech,sad,normal,Dogs,2nd repetition,Actor 11 (Male),03-01-04-01-02-02-11.wav
audio-only,speech,sad,strong,Kids,2nd repetition,Actor 11 (Male),03-01-04-02-01-02-11.wav
audio-only,speech,disgust,strong,Kids,1st repetition,Actor 11 (Male),03-01-07-02-01-01-11.wav
audio-only,speech,surprised,strong,Kids,1st repetition,Actor 11 (Male),03-01-08-02-01-01-11.wav
audio-only,speech,surprised,normal,Dogs,1st repetition,Actor 11 (Male),03-01-08-01-02-01-11.wav
audio-only,speech,happy,strong,Kids,2nd repetition,Actor 18 (Female),03-01-03-02-01-02-18.wav
audio-only,speech,happy,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-03-01-02-02-18.wav
audio-only,speech,calm,strong,Dogs,1st repetition,Actor 18 (Female),03-01-02-02-02-01-18.wav
audio-only,speech,calm,normal,Kids,1st repetition,Actor 18 (Female),03-01-02-01-01-01-18.wav
audio-only,speech,neutral,normal,Kids,2nd repetition,Actor 18 (Female),03-01-01-01-01-02-18.wav
audio-only,speech,fearful,normal,Kids,2nd repetition,Actor 18 (Female),03-01-06-01-01-02-18.wav
audio-only,speech,angry,normal,Kids,1st repetition,Actor 18 (Female),03-01-05-01-01-01-18.wav
audio-only,speech,angry,strong,Dogs,1st repetition,Actor 18 (Female),03-01-05-02-02-01-18.wav
audio-only,speech,fearful,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-06-02-02-02-18.wav
audio-only,speech,sad,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-04-01-02-02-18.wav
audio-only,speech,disgust,normal,Dogs,1st repetition,Actor 18 (Female),03-01-07-01-02-01-18.wav
audio-only,speech,disgust,strong,Kids,1st repetition,Actor 18 (Female),03-01-07-02-01-01-18.wav
audio-only,speech,sad,strong,Kids,2nd repetition,Actor 18 (Female),03-01-04-02-01-02-18.wav
audio-only,speech,surprised,strong,Kids,1st repetition,Actor 18 (Female),03-01-08-02-01-01-18.wav
audio-only,speech,surprised,normal,Dogs,1st repetition,Actor 18 (Female),03-01-08-01-02-01-18.wav
audio-only,speech,angry,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-05-01-02-02-18.wav
audio-only,speech,fearful,normal,Dogs,1st repetition,Actor 18 (Female),03-01-06-01-02-01-18.wav
audio-only,speech,fearful,strong,Kids,1st repetition,Actor 18 (Female),03-01-06-02-01-01-18.wav
audio-only,speech,angry,strong,Kids,2nd repetition,Actor 18 (Female),03-01-05-02-01-02-18.wav
audio-only,speech,disgust,normal,Kids,2nd repetition,Actor 18 (Female),03-01-07-01-01-02-18.wav
audio-only,speech,sad,normal,Kids,1st repetition,Actor 18 (Female),03-01-04-01-01-01-18.wav
audio-only,speech,sad,strong,Dogs,1st repetition,Actor 18 (Female),03-01-04-02-02-01-18.wav
audio-only,speech,disgust,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-07-02-02-02-18.wav
audio-only,speech,surprised,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-08-02-02-02-18.wav
audio-only,speech,surprised,normal,Kids,2nd repetition,Actor 18 (Female),03-01-08-01-01-02-18.wav
audio-only,speech,happy,strong,Dogs,1st repetition,Actor 18 (Female),03-01-03-02-02-01-18.wav
audio-only,speech,happy,normal,Kids,1st repetition,Actor 18 (Female),03-01-03-01-01-01-18.wav
audio-only,speech,calm,strong,Kids,2nd repetition,Actor 18 (Female),03-01-02-02-01-02-18.wav
audio-only,speech,neutral,normal,Dogs,1st repetition,Actor 18 (Female),03-01-01-01-02-01-18.wav
audio-only,speech,calm,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-02-01-02-02-18.wav
audio-only,speech,sad,strong,Kids,1st repetition,Actor 18 (Female),03-01-04-02-01-01-18.wav
audio-only,speech,disgust,strong,Kids,2nd repetition,Actor 18 (Female),03-01-07-02-01-02-18.wav
audio-only,speech,disgust,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-07-01-02-02-18.wav
audio-only,speech,sad,normal,Dogs,1st repetition,Actor 18 (Female),03-01-04-01-02-01-18.wav
audio-only,speech,fearful,strong,Dogs,1st repetition,Actor 18 (Female),03-01-06-02-02-01-18.wav
audio-only,speech,angry,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-05-02-02-02-18.wav
audio-only,speech,angry,normal,Kids,2nd repetition,Actor 18 (Female),03-01-05-01-01-02-18.wav
audio-only,speech,fearful,normal,Kids,1st repetition,Actor 18 (Female),03-01-06-01-01-01-18.wav
audio-only,speech,surprised,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-08-01-02-02-18.wav
audio-only,speech,surprised,strong,Kids,2nd repetition,Actor 18 (Female),03-01-08-02-01-02-18.wav
audio-only,speech,neutral,normal,Kids,1st repetition,Actor 18 (Female),03-01-01-01-01-01-18.wav
audio-only,speech,calm,normal,Kids,2nd repetition,Actor 18 (Female),03-01-02-01-01-02-18.wav
audio-only,speech,calm,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-02-02-02-02-18.wav
audio-only,speech,happy,normal,Dogs,1st repetition,Actor 18 (Female),03-01-03-01-02-01-18.wav
audio-only,speech,happy,strong,Kids,1st repetition,Actor 18 (Female),03-01-03-02-01-01-18.wav
audio-only,speech,calm,normal,Dogs,1st repetition,Actor 18 (Female),03-01-02-01-02-01-18.wav
audio-only,speech,neutral,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-01-01-02-02-18.wav
audio-only,speech,calm,strong,Kids,1st repetition,Actor 18 (Female),03-01-02-02-01-01-18.wav
audio-only,speech,happy,normal,Kids,2nd repetition,Actor 18 (Female),03-01-03-01-01-02-18.wav
audio-only,speech,happy,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-03-02-02-02-18.wav
audio-only,speech,disgust,strong,Dogs,1st repetition,Actor 18 (Female),03-01-07-02-02-01-18.wav
audio-only,speech,sad,strong,Dogs,2nd repetition,Actor 18 (Female),03-01-04-02-02-02-18.wav
audio-only,speech,sad,normal,Kids,2nd repetition,Actor 18 (Female),03-01-04-01-01-02-18.wav
audio-only,speech,disgust,normal,Kids,1st repetition,Actor 18 (Female),03-01-07-01-01-01-18.wav
audio-only,speech,angry,strong,Kids,1st repetition,Actor 18 (Female),03-01-05-02-01-01-18.wav
audio-only,speech,fearful,strong,Kids,2nd repetition,Actor 18 (Female),03-01-06-02-01-02-18.wav
audio-only,speech,fearful,normal,Dogs,2nd repetition,Actor 18 (Female),03-01-06-01-02-02-18.wav
audio-only,speech,angry,normal,Dogs,1st repetition,Actor 18 (Female),03-01-05-01-02-01-18.wav
audio-only,speech,surprised,normal,Kids,1st repetition,Actor 18 (Female),03-01-08-01-01-01-18.wav
audio-only,speech,surprised,strong,Dogs,1st repetition,Actor 18 (Female),03-01-08-02-02-01-18.wav
audio-only,speech,surprised,normal,Dogs,1st repetition,Actor 20 (Female),03-01-08-01-02-01-20.wav
audio-only,speech,surprised,strong,Kids,1st repetition,Actor 20 (Female),03-01-08-02-01-01-20.wav
audio-only,speech,sad,strong,Kids,2nd repetition,Actor 20 (Female),03-01-04-02-01-02-20.wav
audio-only,speech,disgust,strong,Kids,1st repetition,Actor 20 (Female),03-01-07-02-01-01-20.wav
audio-only,speech,disgust,normal,Dogs,1st repetition,Actor 20 (Female),03-01-07-01-02-01-20.wav
audio-only,speech,sad,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-04-01-02-02-20.wav
audio-only,speech,fearful,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-06-02-02-02-20.wav
audio-only,speech,angry,strong,Dogs,1st repetition,Actor 20 (Female),03-01-05-02-02-01-20.wav
audio-only,speech,angry,normal,Kids,1st repetition,Actor 20 (Female),03-01-05-01-01-01-20.wav
audio-only,speech,fearful,normal,Kids,2nd repetition,Actor 20 (Female),03-01-06-01-01-02-20.wav
audio-only,speech,neutral,normal,Kids,2nd repetition,Actor 20 (Female),03-01-01-01-01-02-20.wav
audio-only,speech,calm,normal,Kids,1st repetition,Actor 20 (Female),03-01-02-01-01-01-20.wav
audio-only,speech,calm,strong,Dogs,1st repetition,Actor 20 (Female),03-01-02-02-02-01-20.wav
audio-only,speech,happy,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-03-01-02-02-20.wav
audio-only,speech,happy,strong,Kids,2nd repetition,Actor 20 (Female),03-01-03-02-01-02-20.wav
audio-only,speech,calm,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-02-01-02-02-20.wav
audio-only,speech,neutral,normal,Dogs,1st repetition,Actor 20 (Female),03-01-01-01-02-01-20.wav
audio-only,speech,calm,strong,Kids,2nd repetition,Actor 20 (Female),03-01-02-02-01-02-20.wav
audio-only,speech,happy,normal,Kids,1st repetition,Actor 20 (Female),03-01-03-01-01-01-20.wav
audio-only,speech,happy,strong,Dogs,1st repetition,Actor 20 (Female),03-01-03-02-02-01-20.wav
audio-only,speech,surprised,normal,Kids,2nd repetition,Actor 20 (Female),03-01-08-01-01-02-20.wav
audio-only,speech,surprised,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-08-02-02-02-20.wav
audio-only,speech,disgust,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-07-02-02-02-20.wav
audio-only,speech,sad,strong,Dogs,1st repetition,Actor 20 (Female),03-01-04-02-02-01-20.wav
audio-only,speech,sad,normal,Kids,1st repetition,Actor 20 (Female),03-01-04-01-01-01-20.wav
audio-only,speech,disgust,normal,Kids,2nd repetition,Actor 20 (Female),03-01-07-01-01-02-20.wav
audio-only,speech,angry,strong,Kids,2nd repetition,Actor 20 (Female),03-01-05-02-01-02-20.wav
audio-only,speech,fearful,strong,Kids,1st repetition,Actor 20 (Female),03-01-06-02-01-01-20.wav
audio-only,speech,fearful,normal,Dogs,1st repetition,Actor 20 (Female),03-01-06-01-02-01-20.wav
audio-only,speech,angry,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-05-01-02-02-20.wav
audio-only,speech,happy,strong,Kids,1st repetition,Actor 20 (Female),03-01-03-02-01-01-20.wav
audio-only,speech,happy,normal,Dogs,1st repetition,Actor 20 (Female),03-01-03-01-02-01-20.wav
audio-only,speech,calm,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-02-02-02-02-20.wav
audio-only,speech,calm,normal,Kids,2nd repetition,Actor 20 (Female),03-01-02-01-01-02-20.wav
audio-only,speech,neutral,normal,Kids,1st repetition,Actor 20 (Female),03-01-01-01-01-01-20.wav
audio-only,speech,surprised,strong,Kids,2nd repetition,Actor 20 (Female),03-01-08-02-01-02-20.wav
audio-only,speech,surprised,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-08-01-02-02-20.wav
audio-only,speech,fearful,normal,Kids,1st repetition,Actor 20 (Female),03-01-06-01-01-01-20.wav
audio-only,speech,angry,normal,Kids,2nd repetition,Actor 20 (Female),03-01-05-01-01-02-20.wav
audio-only,speech,angry,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-05-02-02-02-20.wav
audio-only,speech,fearful,strong,Dogs,1st repetition,Actor 20 (Female),03-01-06-02-02-01-20.wav
audio-only,speech,sad,normal,Dogs,1st repetition,Actor 20 (Female),03-01-04-01-02-01-20.wav
audio-only,speech,disgust,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-07-01-02-02-20.wav
audio-only,speech,disgust,strong,Kids,2nd repetition,Actor 20 (Female),03-01-07-02-01-02-20.wav
audio-only,speech,sad,strong,Kids,1st repetition,Actor 20 (Female),03-01-04-02-01-01-20.wav
audio-only,speech,surprised,strong,Dogs,1st repetition,Actor 20 (Female),03-01-08-02-02-01-20.wav
audio-only,speech,surprised,normal,Kids,1st repetition,Actor 20 (Female),03-01-08-01-01-01-20.wav
audio-only,speech,angry,normal,Dogs,1st repetition,Actor 20 (Female),03-01-05-01-02-01-20.wav
audio-only,speech,fearful,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-06-01-02-02-20.wav
audio-only,speech,fearful,strong,Kids,2nd repetition,Actor 20 (Female),03-01-06-02-01-02-20.wav
audio-only,speech,angry,strong,Kids,1st repetition,Actor 20 (Female),03-01-05-02-01-01-20.wav
audio-only,speech,disgust,normal,Kids,1st repetition,Actor 20 (Female),03-01-07-01-01-01-20.wav
audio-only,speech,sad,normal,Kids,2nd repetition,Actor 20 (Female),03-01-04-01-01-02-20.wav
audio-only,speech,sad,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-04-02-02-02-20.wav
audio-only,speech,disgust,strong,Dogs,1st repetition,Actor 20 (Female),03-01-07-02-02-01-20.wav
audio-only,speech,happy,strong,Dogs,2nd repetition,Actor 20 (Female),03-01-03-02-02-02-20.wav
audio-only,speech,happy,normal,Kids,2nd repetition,Actor 20 (Female),03-01-03-01-01-02-20.wav
audio-only,speech,calm,strong,Kids,1st repetition,Actor 20 (Female),03-01-02-02-01-01-20.wav
audio-only,speech,neutral,normal,Dogs,2nd repetition,Actor 20 (Female),03-01-01-01-02-02-20.wav
audio-only,speech,calm,normal,Dogs,1st repetition,Actor 20 (Female),03-01-02-01-02-01-20.wav
audio-only,speech,surprised,strong,Kids,1st repetition,Actor 21 (Male),03-01-08-02-01-01-21.wav
audio-only,speech,surprised,normal,Dogs,1st repetition,Actor 21 (Male),03-01-08-01-02-01-21.wav
audio-only,speech,fearful,normal,Kids,2nd repetition,Actor 21 (Male),03-01-06-01-01-02-21.wav
audio-only,speech,angry,normal,Kids,1st repetition,Actor 21 (Male),03-01-05-01-01-01-21.wav
audio-only,speech,angry,strong,Dogs,1st repetition,Actor 21 (Male),03-01-05-02-02-01-21.wav
audio-only,speech,fearful,strong,Dogs,2nd repetition,Actor 21 (Male),03-01-06-02-02-02-21.wav
audio-only,speech,sad,normal,Dogs,2nd repetition,Actor 21 (Male),03-01-04-01-02-02-21.wav
audio-only,speech,disgust,normal,Dogs,1st repetition,Actor 21 (Male),03-01-07-01-02-01-21.wav
audio-only,speech,disgust,strong,Kids,1st repetition,Actor 21 (Male),03-01-07-02-01-01-21.wav
audio-only,speech,sad,strong,Kids,2nd repetition,Actor 21 (Male),03-01-04-02-01-02-21.wav
audio-only,speech,happy,strong,Kids,2nd repetition,Actor 21 (Male),03-01-03-02-01-02-21.wav
audio-only,speech,happy,normal,Dogs,2nd repetition,Actor 21 (Male),03-01-03-01-02-02-21.wav
audio-only,speech,calm,strong,Dogs,1st repetition,Actor 21 (Male),03-01-02-02-02-01-21.wav
audio-only,speech,calm,normal,Kids,1st repetition,Actor 21 (Male),03-01-02-01-01-01-21.wav
audio-only,speech,neutral,normal,Kids,2nd repetition,Actor 21 (Male),03-01-01-01-01-02-21.wav
audio-only,speech,happy,strong,Dogs,1st repetition,Actor 21 (Male),03-01-03-02-02-01-21.wav
audio-only,speech,happy,normal,Kids,1st repetition,Actor 21 (Male),03-01-03-01-01-01-21.wav
audio-only,speech,calm,strong,Kids,2nd repetition,Actor 21 (Male),03-01-02-02-01-02-21.wav
audio-only,speech,neutral,normal,Dogs,1st repetition,Actor 21 (Male),03-01-01-01-02-01-21.wav
audio-only,speech,calm,normal,Dogs,2nd repetition,Actor 21 (Male),03-01-02-01-02-02-21.wav
audio-only,speech,surprised,strong,Dogs,2nd repetition,Actor 21 (Male),03-01-08-02-02-02-21.wav
audio-only,speech,surprised,normal,Kids,2nd repetition,Actor 21 (Male),03-01-08-01-01-02-21.wav
audio-only,speech,angry,normal,Dogs,2nd repetition,Actor 21 (Male),03-01-05-01-02-02-21.wav
audio-only,speech,fearful,normal,Dogs,1st repetition,Actor 21 (Male),03-01-06-01-02-01-21.wav
audio-only,speech,fearful,strong,Kids,1st repetition,Actor 21 (Male),03-01-06-02-01-01-21.wav
